1. cislo z 1. osudi,2. cislo z 1. osudi,3. cislo z 1. osudi,4. cislo z 1. osudi,5. cislo z 1. osudi,1. cislo z 2. osudi,2. cislo z 2. osudi
17,22,20,11,29,6,4
24,27,35,14,39,7,8
37,26,22,15,3,2,4
3,27,7,43,46,3,8
5,35,33,25,13,8,4
49,25,41,45,22,5,2
43,4,35,41,18,4,5
6,35,18,16,29,9,6
11,32,25,47,42,4,9
15,1,8,37,19,7,9
10,25,49,11,32,5,9
39,2,30,43,21,5,7
48,38,29,42,16,5,6
41,27,19,20,13,9,5
4,48,1,14,32,5,6
30,2,32,14,13,3,1
4,3,11,8,41,2,8
22,19,37,3,39,10,5
14,48,46,3,7,6,9
18,29,16,44,1,7,2
30,9,49,28,43,10,8
16,32,9,17,20,2,3
39,10,25,1,44,1,2
9,13,38,11,35,7,5
31,33,50,3,26,3,9
34,48,37,43,5,4,2
18,1,26,40,47,3,4
20,13,5,33,6,8,3
33,27,17,46,4,3,9
25,50,30,8,24,4,6
31,19,46,40,32,9,8
38,12,14,46,18,9,10
24,23,50,39,8,5,1
16,38,28,6,1,1,6
40,19,41,50,38,5,1
27,23,17,30,39,6,8
21,12,14,39,20,10,5
27,14,28,35,47,1,8
40,45,31,1,41,5,9
35,47,12,36,39,3,6
37,21,30,6,44,1,3
6,30,12,15,20,3,6
24,11,49,19,46,1,5
15,49,1,22,9,4,7
28,41,1,7,27,2,6
13,20,39,40,42,3,9
8,5,34,46,33,8,3
12,23,46,41,37,3,7
31,30,7,22,27,7,5
3,48,41,13,7,1,7
5,13,3,16,30,6,3
39,7,9,28,47,8,2
26,23,14,31,13,3,9
38,11,19,42,46,3,9
16,36,34,49,18,8,6
5,15,16,37,36,5,3
22,24,4,2,8,3,9
23,49,27,19,26,10,3
1,36,31,18,20,5,9
2,26,49,13,7,3,4
16,34,14,26,38,8,2
36,37,49,39,34,10,8
11,27,19,32,42,9,5
8,36,33,34,9,9,3
14,35,45,11,44,5,6
47,1,2,24,5,8,3
23,25,4,39,37,9,1
